user_id,name,email,password,city,registration_date
1,Sari Kusumo,kusumo.sari@xmail.com,_*g4V#Hh!T,Ambon,2018-01-01
2,Galuh Anggraini,anggraini.galuh@xmail.com,w4&*EWgg^y,Samarinda,2018-01-02
3,Harjo Hidayat,hidayat.harjo@xmail.com,y3YGLn0E!j,Cilegon,2018-01-03
4,Wahyu Wibowo,wibowo.wahyu@xmail.com,Bi%8lHHvTf,Bogor,2018-01-03
5,Jumadi Purwanti,purwanti.jumadi@xmail.com,JsEz_OX4+(,Purwokerto,2018-01-04
6,Ajimin Zulaika,zulaika.ajimin@xmail.com,h1D9V!ff+r,Bukittinggi,2018-01-05
7,Pangeran Marpaung,marpaung.pangeran@xmail.com,B8ArnA%t(&,Surabaya,2018-01-05
8,Wasis Pudjiastuti,pudjiastuti.wasis@xmail.com,#4RQ2tzaKQ,Semarang,2018-01-06
9,Irnanto Ardianto,ardianto.irnanto@xmail.com,t@^0b3HcUM,Surabaya,2018-01-06
10,Setya Thamrin,thamrin.setya@xmail.com,%a&6Ol(xR_,Palembang,2018-01-07
11,Humaira Januar,januar.humaira@xmail.com,uo0N8HAc!7,Bukittinggi,2018-01-08
12,Harjasa Sihombing,sihombing.harjasa@xmail.com,SS%0Ppxx^$,Salatiga,2018-01-09
13,Jumadi Prastuti,prastuti.jumadi@xmail.com,)0Qv3T5cbA,Batu,2018-01-10
14,Gawati Prabowo,prabowo.gawati@xmail.com,r4E+leXz(!,Binjai,2018-01-10
15,Dariati Puspasari,puspasari.dariati@xmail.com,#D4pJtt$Yn,Ternate,2018-01-11
16,Tasdik Puspasari,puspasari.tasdik@xmail.com,+6dR#aSJ$E,Sabang,2018-01-11
17,Rahmat Safitri,safitri.rahmat@xmail.com,y+2@HCflpl,Parepare,2018-01-12
18,Ibun Pangestu,pangestu.ibun@xmail.com,5zaH8JjD*c,Cirebon,2018-01-13
19,Kania Saptono,saptono.kania@xmail.com,DkK1(Tn$!Q,Surakarta,2018-01-14
20,Mitra Oktaviani,oktaviani.mitra@xmail.com,PbCdX2jG^1,Langsa,2018-01-15
21,Kemal Pranowo,pranowo.kemal@xmail.com,Bub9kTga9&,Jayapura,2018-01-15
22,Hasta Maulana,maulana.hasta@xmail.com,X!0HUfpH_c,Banjarbaru,2018-01-15
23,Ifa Prayoga,prayoga.ifa@xmail.com,MR@7EKmzJt,Yogyakarta,2018-01-16
24,Eva Laksita,laksita.eva@xmail.com,^98BR3Io_%,Banjarmasin,2018-01-16
25,Hendri Andriani,andriani.hendri@xmail.com,piGWEhpa&9,Kota Administrasi Jakarta Timur,2018-01-17
26,Teddy Laksita,laksita.teddy@xmail.com,!H6M)YKvT#,Metro,2018-01-17
27,Marwata Prabowo,prabowo.marwata@xmail.com,*5wKnMh$wy,Kendari,2018-01-18
28,Dono Kusmawati,kusmawati.dono@xmail.com,M6F1Sfg0B_,Semarang,2018-01-18
29,Zahra Utami,utami.zahra@xmail.com,$1lkT$Wy^Z,Mataram,2018-01-19
30,Rahmi Haryanti,haryanti.rahmi@xmail.com,g+72NNKf7p,Salatiga,2018-01-20
31,Oni Winarsih,winarsih.oni@xmail.com,o&35DrAp!w,Tanjungbalai,2018-01-20
32,Wawan Yuliarti,yuliarti.wawan@xmail.com,@9H+7OSzzS,Tebingtinggi,2018-01-21
33,Harsana Sihotang,sihotang.harsana@xmail.com,@4YfwQ8*84,Kota Administrasi Jakarta Utara,2018-01-22
34,Bakijan Habibi,habibi.bakijan@xmail.com,Z(*!9NWe64,Bukittinggi,2018-01-22
35,Emin Pratiwi,pratiwi.emin@xmail.com,%dWHjGtAV1,Kota Administrasi Jakarta Selatan,2018-01-22
36,Tania Hutapea,hutapea.tania@xmail.com,^!L3F5reL#,Probolinggo,2018-01-22
37,Ihsan Yuliarti,yuliarti.ihsan@xmail.com,%4WmuKMc#E,Palangkaraya,2018-01-23
38,Mariadi Suartini,suartini.mariadi@xmail.com,xn0wCb7hh%,Subulussalam,2018-01-24
39,Ani Iswahyudi,iswahyudi.ani@xmail.com,B*+I5Nki#&,Surabaya,2018-01-25
40,Halima Hariyah,hariyah.halima@xmail.com,Eh0GqSuKd&,Purwokerto,2018-01-26
41,Rahman Iswahyudi,iswahyudi.rahman@xmail.com,Z+OdeINM$1,Kota Administrasi Jakarta Utara,2018-01-26
42,Radit Siregar,siregar.radit@xmail.com,fnU4qAjCi(,Padang Sidempuan,2018-01-26
43,Bakianto Simanjuntak,simanjuntak.bakianto@xmail.com,W7ka+x)z+*,Padang Sidempuan,2018-01-26
44,Shakila Mangunsong,mangunsong.shakila@xmail.com,7iapppGB@Z,Sorong,2018-01-27
45,Yani Suwarno,suwarno.yani@xmail.com,ie*NA#d%$1,Cimahi,2018-01-27
46,Gara Hutapea,hutapea.gara@xmail.com,5)6M6T!vsc,Subulussalam,2018-01-28
47,Samsul Ramadan,ramadan.samsul@xmail.com,**GEGd@mH4,Sibolga,2018-01-28
48,Niyaga Prasetya,prasetya.niyaga@xmail.com,c_3oTiZAKU,Cirebon,2018-01-29
49,Himawan Mustofa,mustofa.himawan@xmail.com,tn5QNlqD(x,Bekasi,2018-01-29
50,Paiman Budiman,budiman.paiman@xmail.com,Fo78ZDbMX%,Tanjungpinang,2018-01-30
51,Lukita Yulianti,yulianti.lukita@xmail.com,wb1*r_Ebg&,Singkawang,2018-01-31
52,Rahman Setiawan,setiawan.rahman@xmail.com,K!E5FsZo8G,Banjarbaru,2018-01-31
53,Mulyanto Prasasta,prasasta.mulyanto@xmail.com,n9GmcjkW#y,Blitar,2018-01-31
54,Among Tamba,tamba.among@xmail.com,$$gQKNjPa9,Sukabumi,2018-02-01
55,Aswani Halim,halim.aswani@xmail.com,*eKsN_vY*6,Pekalongan,2018-02-01
56,Nurul Astuti,astuti.nurul@xmail.com,qS@J1UnufB,Bekasi,2018-02-01
57,Cawisono Iswahyudi,iswahyudi.cawisono@xmail.com,&)%wXxIqv1,Samarinda,2018-02-01
58,Cinthia Prabowo,prabowo.cinthia@xmail.com,7T(8HJTi#d,Denpasar,2018-02-01
59,Kenes Saragih,saragih.kenes@xmail.com,qfH_5Ah3J^,Bukittinggi,2018-02-02
60,Galih Safitri,safitri.galih@xmail.com,!NK1I(o8cO,Ambon,2018-02-02
61,Hasan Sihombing,sihombing.hasan@xmail.com,$2OJ)RYibE,Samarinda,2018-02-02
62,Sidiq Pertiwi,pertiwi.sidiq@xmail.com,H60wJddK&K,Jayapura,2018-02-03
63,Mulyanto Narpati,narpati.mulyanto@xmail.com,R@8DwZ_d6U,Tangerang Selatan,2018-02-04
64,Julia Yuniar,yuniar.julia@xmail.com,B_MY9KE^Mu,Pangkalpinang,2018-02-05
65,Kania Puspasari,puspasari.kania@xmail.com,+10OwLmzy&,Pontianak,2018-02-06
66,Elisa Suryatmi,suryatmi.elisa@xmail.com,Gj5$YLCTG#,Malang,2018-02-06
67,Lukman Yolanda,yolanda.lukman@xmail.com,e6TZCEtw+t,Mataram,2018-02-07
68,Lasmanto Najmudin,najmudin.lasmanto@xmail.com,2z59kPYpQ$,Padang Sidempuan,2018-02-07
69,Omar Wastuti,wastuti.omar@xmail.com,9hLR3lOt+w,Cilegon,2018-02-07
70,Heru Suartini,suartini.heru@xmail.com,N#v4Q)BuLP,Bandar Lampung,2018-02-08
71,Radit Habibi,habibi.radit@xmail.com,&&LB*eCh#8,Banda Aceh,2018-02-08
72,Kambali Pratama,pratama.kambali@xmail.com,t(9X$JkL#8,Kupang,2018-02-08
73,Sidiq Adriansyah,adriansyah.sidiq@xmail.com,)b&y^5HsTG,Tidore Kepulauan,2018-02-09
74,Anggabaya Tamba,tamba.anggabaya@xmail.com,@5Hh)EDxnc,Dumai,2018-02-10
75,Bakianto Pangestu,pangestu.bakianto@xmail.com,Hm!#Z5Jqa8,Tanjungbalai,2018-02-10
76,Almira Uwais,uwais.almira@xmail.com,f^(mS4ZcAW,Banjar,2018-02-11
77,Nrima Susanti,susanti.nrima@xmail.com,&4Uzlcw_Wj,Mataram,2018-02-11
78,Pranata Purnawati,purnawati.pranata@xmail.com,LF9^_FEv!@,Kota Administrasi Jakarta Selatan,2018-02-12
79,Karma Hassanah,hassanah.karma@xmail.com,t9)pJwK&$o,Cilegon,2018-02-13
80,Sarah Natsir,natsir.sarah@xmail.com,y^5O8UHd)r,Yogyakarta,2018-02-13
81,Reza Permata,permata.reza@xmail.com,@2K)nSViuP,Cimahi,2018-02-14
82,Gaman Sinaga,sinaga.gaman@xmail.com,+oLYSqARP3,Bau-Bau,2018-02-14
83,Bakijan Yuniar,yuniar.bakijan@xmail.com,)4ZOU9wglc,Palembang,2018-02-14
84,Radika Laksmiwati,laksmiwati.radika@xmail.com,_*B3KHit*5,Bengkulu,2018-02-14
85,Baktianto Siregar,siregar.baktianto@xmail.com,&9mvf2NhMr,Kendari,2018-02-14
86,Irfan Padmasari,padmasari.irfan@xmail.com,^raMRBjrf0,Mataram,2018-02-15
87,Intan Suwarno,suwarno.intan@xmail.com,i8Qo(yHk@6,Pekalongan,2018-02-16
88,Bajragin Gunawan,gunawan.bajragin@xmail.com,lQ+s_WBk!2,Parepare,2018-02-17
89,Anom Uwais,uwais.anom@xmail.com,^sNYW7asU1,Bontang,2018-02-17
90,Wulan Prasasta,prasasta.wulan@xmail.com,2K9W3dXM!f,Pontianak,2018-02-18
91,Parman Sihotang,sihotang.parman@xmail.com,Scq#7RNk8A,Malang,2018-02-19
92,Ira Saefullah,saefullah.ira@xmail.com,SsH1S_$v%u,Sabang,2018-02-19
93,Zulaikha Saputra,saputra.zulaikha@xmail.com,#5TRZ$xf1j,Pariaman,2018-02-20
94,Samiah Pangestu,pangestu.samiah@xmail.com,%i55goJuIn,Bandung,2018-02-21
95,Ajiman Salahudin,salahudin.ajiman@xmail.com,)z9ODoMk(0,Kupang,2018-02-22
96,Jasmin Wulandari,wulandari.jasmin@xmail.com,snQ$2T_u67,Sawahlunto,2018-02-23
97,Karen Anggriawan,anggriawan.karen@xmail.com,%(A5WheB(%,Bogor,2018-02-24
98,Yahya Mangunsong,mangunsong.yahya@xmail.com,d9ilnLcW*n,Banjarmasin,2018-02-24
99,Hana Mayasari,mayasari.hana@xmail.com,$pKcfORe%9,Tangerang,2018-02-24
100,Latif Damanik,damanik.latif@xmail.com,4^&dS4AxM9,Metro,2018-02-24
101,Caraka Zulaika,zulaika.caraka@xmail.com,p(z8)yEu_M,Bukittinggi,2018-02-25
102,Kusuma Nainggolan,nainggolan.kusuma@xmail.com,+Xv15%Bzbq,Probolinggo,2018-02-26
103,Ibrahim Hakim,hakim.ibrahim@xmail.com,#gBWJBA_8h,Sorong,2018-02-26
104,Winda Aryani,aryani.winda@xmail.com,(b7BB+FlNo,Padangpanjang,2018-02-26
105,Ifa Nuraini,nuraini.ifa@xmail.com,36uH&f27#i,Pariaman,2018-02-27
106,Hamzah Sitorus,sitorus.hamzah@xmail.com,x(zN50Gg%j,Kota Administrasi Jakarta Selatan,2018-02-28
107,Najib Mulyani,mulyani.najib@xmail.com,yM7tDIz4_*,Magelang,2018-03-01
108,Jagaraga Wibowo,wibowo.jagaraga@xmail.com,3cPmxZOr)0,Batu,2018-03-01
109,Uli Hardiansyah,hardiansyah.uli@xmail.com,!e!PEXuX6O,Banda Aceh,2018-03-02
110,Cindy Wulandari,wulandari.cindy@xmail.com,&2XDdk^wL5,Padang,2018-03-02
111,Prabu Waluyo,waluyo.prabu@xmail.com,!0O7BTpuR(,Batu,2018-03-03
112,Yani Setiawan,setiawan.yani@xmail.com,1o@3_Vbu(9,Tomohon,2018-03-03
113,Estiono Hutapea,hutapea.estiono@xmail.com,KoD5wBjd(z,Palangkaraya,2018-03-04
114,Hardana Zulaika,zulaika.hardana@xmail.com,)le&6CYyB*,Bima,2018-03-04
115,Eman Irawan,irawan.eman@xmail.com,T6@O&WCG#r,Tangerang Selatan,2018-03-05
116,Prabawa Narpati,narpati.prabawa@xmail.com,O#4JN^6iYV,Ambon,2018-03-06
117,Prima Sitorus,sitorus.prima@xmail.com,KJma)6ZkN1,Madiun,2018-03-07
118,Parman Setiawan,setiawan.parman@xmail.com,2&5i@fDsln,Kendari,2018-03-08
119,Johan Wahyuni,wahyuni.johan@xmail.com,^mNZPudS#6,Cimahi,2018-03-09
120,Sakura Suryatmi,suryatmi.sakura@xmail.com,ZxC!*9UvTc,Yogyakarta,2018-03-10
121,Winda Rahmawati,rahmawati.winda@xmail.com,z89u&Egl+k,Tebingtinggi,2018-03-10
122,Zamira Hartati,hartati.zamira@xmail.com,l(o1c0Jb^+,Sorong,2018-03-10
123,Gading Nashiruddin,nashiruddin.gading@xmail.com,gr6M!a8e_U,Binjai,2018-03-10
124,Karna Winarsih,winarsih.karna@xmail.com,W*8UokmeAX,Binjai,2018-03-10
125,Ghani Wahyudin,wahyudin.ghani@xmail.com,I_21ZQZmT+,Manado,2018-03-10
126,Ajiman Laksita,laksita.ajiman@xmail.com,PO3MrO&##9,Salatiga,2018-03-11
127,Anastasia Pudjiastuti,pudjiastuti.anastasia@xmail.com,(Sz1SiKdJg,Malang,2018-03-12
128,Cayadi Farida,farida.cayadi@xmail.com,gcGXzXkm@3,Tarakan,2018-03-13
129,Lanang Siregar,siregar.lanang@xmail.com,m_h)%4Qv)_,Samarinda,2018-03-14
130,Rahayu Santoso,santoso.rahayu@xmail.com,^6iHhMqo_V,Jambi,2018-03-15
131,Sidiq Prabowo,prabowo.sidiq@xmail.com,*4KNDc$jkM,Dumai,2018-03-16
132,Yunita Mustofa,mustofa.yunita@xmail.com,_4&Fa$YihJ,Blitar,2018-03-17
133,Maimunah Prasetyo,prasetyo.maimunah@xmail.com,d(7JA^ag*B,Singkawang,2018-03-17
134,Salsabila Marbun,marbun.salsabila@xmail.com,Y+*5pXghVG,Sukabumi,2018-03-18
135,Cawisadi Prayoga,prayoga.cawisadi@xmail.com,(jd9aATxh9,Kendari,2018-03-18
136,Betania Uyainah,uyainah.betania@xmail.com,)a)pQFciw1,Banjar,2018-03-19
137,Banawa Widodo,widodo.banawa@xmail.com,PI4&RUwA(3,Lhokseumawe,2018-03-20
138,Zelaya Fujiati,fujiati.zelaya@xmail.com,&K3XABgh+d,Cimahi,2018-03-21
139,Paiman Mahendra,mahendra.paiman@xmail.com,j#48%XUdL+,Kota Administrasi Jakarta Pusat,2018-03-22
140,Danang Pertiwi,pertiwi.danang@xmail.com,P$p_1HxupS,Samarinda,2018-03-22
141,Panca Lazuardi,lazuardi.panca@xmail.com,lyw0F8ohS(,Semarang,2018-03-23
142,Aurora Napitupulu,napitupulu.aurora@xmail.com,68IYzoqw+a,Padangpanjang,2018-03-24
143,Ani Halim,halim.ani@xmail.com,#4QdFyb*)C,Kendari,2018-03-24
144,Lamar Rajata,rajata.lamar@xmail.com,C65W_x(*^B,Lhokseumawe,2018-03-25
145,Wira Saptono,saptono.wira@xmail.com,@n1#FCz6EP,Sabang,2018-03-25
146,Humaira Prayoga,prayoga.humaira@xmail.com,@z%jD2Hcv7,Dumai,2018-03-26
147,Safina Handayani,handayani.safina@xmail.com,#v1uZfOkJE,Sukabumi,2018-03-27
148,Lantar Mandasari,mandasari.lantar@xmail.com,&GJZkPzb&8,Meulaboh,2018-03-27
149,Kayun Najmudin,najmudin.kayun@xmail.com,5l8ThEV5!6,Samarinda,2018-03-27
150,Prayoga Thamrin,thamrin.prayoga@xmail.com,Bg2VHEUs#n,Bandung,2018-03-27
151,Cemeti Hakim,hakim.cemeti@xmail.com,QaH2)fto$9,Batu,2018-03-27
152,Pangeran Wijayanti,wijayanti.pangeran@xmail.com,A_9Dkka0x&,Lhokseumawe,2018-03-27
153,Yunita Sihombing,sihombing.yunita@xmail.com,wX2zx#Wax#,Tidore Kepulauan,2018-03-28
154,Chandra Prakasa,prakasa.chandra@xmail.com,^5eZrLFu^6,Cimahi,2018-03-29
155,Raden Lailasari,lailasari.raden@xmail.com,*&5acRmo9B,Tegal,2018-03-29
156,Cakrawala Pudjiastuti,pudjiastuti.cakrawala@xmail.com,s5JTtK$C@I,Mojokerto,2018-03-29
157,Kani Pudjiastuti,pudjiastuti.kani@xmail.com,!*mY2*BlyN,Surabaya,2018-03-29
158,Karta Iswahyudi,iswahyudi.karta@xmail.com,F81$KMfT_d,Purwokerto,2018-03-30
159,Banawi Wibisono,wibisono.banawi@xmail.com,qR6N^sevs(,Cimahi,2018-03-30
160,Indra Nababan,nababan.indra@xmail.com,zKzY0Nct#G,Balikpapan,2018-03-30
161,Padmi Rahmawati,rahmawati.padmi@xmail.com,+TVx6*Dnq(,Bandung,2018-03-31
162,Gangsar Saefullah,saefullah.gangsar@xmail.com,c&H2T$NtFD,Langsa,2018-03-31
163,Timbul Sinaga,sinaga.timbul@xmail.com,&KTINQu%%6,Cirebon,2018-03-31
164,Harsana Pangestu,pangestu.harsana@xmail.com,$EBFMHuo!3,Malang,2018-04-01
165,Gamanto Rajata,rajata.gamanto@xmail.com,+0JxpZcaI1,Jayapura,2018-04-02
166,Johan Sudiati,sudiati.johan@xmail.com,pL4ANmV!%4,Tangerang Selatan,2018-04-03
167,Darijan Laksmiwati,laksmiwati.darijan@xmail.com,C85waIu5%@,Sungai Penuh,2018-04-03
168,Almira Sihombing,sihombing.almira@xmail.com,gV6mMmcZ%v,Kupang,2018-04-03
169,Dagel Halimah,halimah.dagel@xmail.com,Ttws4X4zJ#,Parepare,2018-04-04
170,Balamantri Usada,usada.balamantri@xmail.com,M29cRTqcz),Bau-Bau,2018-04-05
171,Ayu Sitorus,sitorus.ayu@xmail.com,_L3jU+Ku2K,Tegal,2018-04-06
